,Short_Name,Full_Name,geometry
0,B01001e1,SEX BY AGE: Total: Total population -- (Estimate),
1,B01001m1,SEX BY AGE: Total: Total population -- (Margin of Error),
2,B01001e2,SEX BY AGE: Male: Total population -- (Estimate),
3,B01001m2,SEX BY AGE: Male: Total population -- (Margin of Error),
4,B01001e3,SEX BY AGE: Male: Under 5 years: Total population -- (Estimate),
5,B01001m3,SEX BY AGE: Male: Under 5 years: Total population -- (Margin of Error),
6,B01001e4,SEX BY AGE: Male: 5 to 9 years: Total population -- (Estimate),
7,B01001m4,SEX BY AGE: Male: 5 to 9 years: Total population -- (Margin of Error),
8,B01001e5,SEX BY AGE: Male: 10 to 14 years: Total population -- (Estimate),
9,B01001m5,SEX BY AGE: Male: 10 to 14 years: Total population -- (Margin of Error),
10,B01001e6,SEX BY AGE: Male: 15 to 17 years: Total population -- (Estimate),
11,B01001m6,SEX BY AGE: Male: 15 to 17 years: Total population -- (Margin of Error),
12,B01001e7,SEX BY AGE: Male: 18 and 19 years: Total population -- (Estimate),
13,B01001m7,SEX BY AGE: Male: 18 and 19 years: Total population -- (Margin of Error),
14,B01001e8,SEX BY AGE: Male: 20 years: Total population -- (Estimate),
15,B01001m8,SEX BY AGE: Male: 20 years: Total population -- (Margin of Error),
16,B01001e9,SEX BY AGE: Male: 21 years: Total population -- (Estimate),
17,B01001m9,SEX BY AGE: Male: 21 years: Total population -- (Margin of Error),
18,B01001e10,SEX BY AGE: Male: 22 to 24 years: Total population -- (Estimate),
19,B01001m10,SEX BY AGE: Male: 22 to 24 years: Total population -- (Margin of Error),
20,B01001e11,SEX BY AGE: Male: 25 to 29 years: Total population -- (Estimate),
21,B01001m11,SEX BY AGE: Male: 25 to 29 years: Total population -- (Margin of Error),
22,B01001e12,SEX BY AGE: Male: 30 to 34 years: Total population -- (Estimate),
23,B01001m12,SEX BY AGE: Male: 30 to 34 years: Total population -- (Margin of Error),
24,B01001e13,SEX BY AGE: Male: 35 to 39 years: Total population -- (Estimate),
25,B01001m13,SEX BY AGE: Male: 35 to 39 years: Total population -- (Margin of Error),
26,B01001e14,SEX BY AGE: Male: 40 to 44 years: Total population -- (Estimate),
27,B01001m14,SEX BY AGE: Male: 40 to 44 years: Total population -- (Margin of Error),
28,B01001e15,SEX BY AGE: Male: 45 to 49 years: Total population -- (Estimate),
29,B01001m15,SEX BY AGE: Male: 45 to 49 years: Total population -- (Margin of Error),
30,B01001e16,SEX BY AGE: Male: 50 to 54 years: Total population -- (Estimate),
31,B01001m16,SEX BY AGE: Male: 50 to 54 years: Total population -- (Margin of Error),
